orth,phon,syllables
snuffed,"['S', 'N', 'AH1', 'F', 'T']",1
soda,"['S', 'OW1', 'D', 'AH0']",2
soldiers,"['S', 'OW1', 'L', 'JH', 'ER0', 'Z']",2
sometime,"['S', 'AH1', 'M', 'T', 'AY2', 'M']",2
sorrow,"['S', 'AA1', 'R', 'OW0']",2
sorrows,"['S', 'AA1', 'R', 'OW0', 'Z']",2
spain,"['S', 'P', 'EY1', 'N']",1
sparkled,"['S', 'P', 'AA1', 'R', 'K', 'AH0', 'L', 'D']",2
sparkly,"['S', 'P', 'AA1', 'R', 'K', 'L', 'IY0']",2
speeding,"['S', 'P', 'IY1', 'D', 'IH0', 'NG']",2
spice,"['S', 'P', 'AY1', 'S']",1
spiders,"['S', 'P', 'AY1', 'D', 'ER0', 'Z']",2
spilled,"['S', 'P', 'IH1', 'L', 'D']",1
splendid,"['S', 'P', 'L', 'EH1', 'N', 'D', 'AH0', 'D']",2
spoil,"['S', 'P', 'OY1', 'L']",1
spoiled,"['S', 'P', 'OY1', 'L', 'D']",1
squeaky,"['S', 'K', 'W', 'IY1', 'K', 'IY0']",2
squeal,"['S', 'K', 'W', 'IY1', 'L']",1
stair,"['S', 'T', 'EH1', 'R']",1
stations,"['S', 'T', 'EY1', 'SH', 'AH0', 'N', 'Z']",2
stays,"['S', 'T', 'EY1', 'Z']",1
stickers,"['S', 'T', 'IH1', 'K', 'ER0', 'Z']",2
sticking,"['S', 'T', 'IH1', 'K', 'IH0', 'NG']",2
stiff,"['S', 'T', 'IH1', 'F']",1
stile,"['S', 'T', 'AY1', 'L']",1
stir,"['S', 'T', 'ER1']",1
stomped,"['S', 'T', 'AA1', 'M', 'P', 'T']",1
storms,"['S', 'T', 'AO1', 'R', 'M', 'Z']",1
stove,"['S', 'T', 'OW1', 'V']",1
straws,"['S', 'T', 'R', 'AO1', 'Z']",1
strings,"['S', 'T', 'R', 'IH1', 'NG', 'Z']",1
strum,"['S', 'T', 'R', 'AH1', 'M']",1
studio,"['S', 'T', 'UW1', 'D', 'IY0', 'OW2']",3
sudden,"['S', 'AH1', 'D', 'AH0', 'N']",2
sunset,"['S', 'AH1', 'N', 'S', 'EH2', 'T']",2
sunshiny,"['S', 'AH1', 'N', 'SH', 'AY2', 'N', 'IY0']",3
swallow,"['S', 'W', 'AA1', 'L', 'OW0']",2
sweeping,"['S', 'W', 'IY1', 'P', 'IH0', 'NG']",2
swept,"['S', 'W', 'EH1', 'P', 'T']",1
swooped,"['S', 'W', 'UW1', 'P', 'T']",1
swoosh,"['S', 'W', 'UW1', 'SH']",1
tables,"['T', 'EY1', 'B', 'AH0', 'L', 'Z']",2
talks,"['T', 'AO1', 'K', 'S']",1
tallest,"['T', 'AO1', 'L', 'IH0', 'S', 'T']",2
tasted,"['T', 'EY1', 'S', 'T', 'AH0', 'D']",2
teasing,"['T', 'IY1', 'Z', 'IH0', 'NG']",2
teenager,"['T', 'IY1', 'N', 'EY2', 'JH', 'ER0']",3
tennis,"['T', 'EH1', 'N', 'AH0', 'S']",2
thirteen,"['TH', 'ER1', 'T', 'IY1', 'N']",2
ticket,"['T', 'IH1', 'K', 'AH0', 'T']",2
tickets,"['T', 'IH1', 'K', 'AH0', 'T', 'S']",2
ticks,"['T', 'IH1', 'K', 'S']",1
tide,"['T', 'AY1', 'D']",1
til,"['T', 'IH1', 'L']",1
tilt,"['T', 'IH1', 'L', 'T']",1
tips,"['T', 'IH1', 'P', 'S']",1
tissues,"['T', 'IH1', 'S', 'Y', 'UW2', 'Z']",2
tokyo,"['T', 'OW1', 'K', 'IY0', 'OW2']",3
tony,"['T', 'OW1', 'N', 'IY0']",2
toot,"['T', 'UW1', 'T']",1
toppings,"['T', 'AA1', 'P', 'IH0', 'NG', 'Z']",2
trade,"['T', 'R', 'EY1', 'D']",1
trainer,"['T', 'R', 'EY1', 'N', 'ER0']",2
treated,"['T', 'R', 'IY1', 'T', 'AH0', 'D']",2
trimmed,"['T', 'R', 'IH1', 'M', 'D']",1
trips,"['T', 'R', 'IH1', 'P', 'S']",1
troubled,"['T', 'R', 'AH1', 'B', 'AH0', 'L', 'D']",2
trust,"['T', 'R', 'AH1', 'S', 'T']",1
trusty,"['T', 'R', 'AH1', 'S', 'T', 'IY0']",2
tunnels,"['T', 'AH1', 'N', 'AH0', 'L', 'Z']",2
turkey,"['T', 'ER1', 'K', 'IY0']",2
twirled,"['T', 'W', 'ER1', 'L', 'D']",1
unique,"['Y', 'UW0', 'N', 'IY1', 'K']",2
unload,"['AH0', 'N', 'L', 'OW1', 'D']",2
untied,"['AH0', 'N', 'T', 'AY1', 'D']",2
unto,"['AH1', 'N', 'T', 'UW0']",2
veal,"['V', 'IY1', 'L']",1
waiter,"['W', 'EY1', 'T', 'ER0']",2
walker,"['W', 'AO1', 'K', 'ER0']",2
waltzing,"['W', 'AO1', 'L', 'T', 'S', 'IH0', 'NG']",2
wand,"['W', 'AA1', 'N', 'D']",1
warming,"['W', 'AO1', 'R', 'M', 'IH0', 'NG']",2
warmly,"['W', 'AO1', 'R', 'M', 'L', 'IY0']",2
wart,"['W', 'AO1', 'R', 'T']",1
washer,"['W', 'AA1', 'SH', 'ER0']",2
washes,"['W', 'AA1', 'SH', 'IH0', 'Z']",2
waste,"['W', 'EY1', 'S', 'T']",1
watches,"['W', 'AA1', 'CH', 'AH0', 'Z']",2
weekend,"['W', 'IY1', 'K', 'EH2', 'N', 'D']",2
whew,"['W', 'UW1']",1
whirled,"['W', 'ER1', 'L', 'D']",1
whistles,"['W', 'IH1', 'S', 'AH0', 'L', 'Z']",2
whizzed,"['W', 'IH1', 'Z', 'D']",1
whom,"['HH', 'UW1', 'M']",1
wilt,"['W', 'IH1', 'L', 'T']",1
wilted,"['W', 'IH1', 'L', 'T', 'IH0', 'D']",2
windy,"['W', 'IH1', 'N', 'D', 'IY0']",2
winked,"['W', 'IH1', 'NG', 'K', 'T']",1
winning,"['W', 'IH1', 'N', 'IH0', 'NG']",2
wishing,"['W', 'IH1', 'SH', 'IH0', 'NG']",2
within,"['W', 'IH0', 'DH', 'IH1', 'N']",2
wives,"['W', 'AY1', 'V', 'Z']",1
wizard,"['W', 'IH1', 'Z', 'ER0', 'D']",2
wolves,"['W', 'UH1', 'L', 'V', 'Z']",1
woo,"['W', 'UW1']",1
wool,"['W', 'UH1', 'L']",1
worker,"['W', 'ER1', 'K', 'ER0']",2
workmen,"['W', 'ER1', 'K', 'M', 'IH0', 'N']",2
ying,"['Y', 'IH1', 'NG']",1
yip,"['Y', 'IH1', 'P']",1
yopp,"['Y', 'AA1', 'P']",1
zack,"['Z', 'AE1', 'K']",1
abigail,"['AE1', 'B', 'AH0', 'G', 'EY2', 'L']",3
abroad,"['AH0', 'B', 'R', 'AO1', 'D']",2
aches,"['EY1', 'K', 'S']",1
achy,"['EY1', 'K', 'IY0']",2
acorn,"['EY1', 'K', 'AO0', 'R', 'N']",2
action,"['AE1', 'K', 'SH', 'AH0', 'N']",2
ad,"['AE1', 'D']",1
address,"['AE1', 'D', 'R', 'EH2', 'S']",2
admire,"['AE0', 'D', 'M', 'AY1', 'R']",2
adore,"['AH0', 'D', 'AO1', 'R']",2
agatha,"['AE1', 'G', 'AH0', 'TH', 'AH0']",3
ages,"['EY1', 'JH', 'AH0', 'Z']",2
aid,"['EY1', 'D']",1
aired,"['EH1', 'R', 'D']",1
aisle,"['AY1', 'L']",1
ale,"['EY1', 'L']",1
almond,"['AA1', 'M', 'AH0', 'N', 'D']",2
aluminum,"['AH0', 'L', 'UW1', 'M', 'AH0', 'N', 'AH0', 'M']",4
amused,"['AH0', 'M', 'Y', 'UW1', 'Z', 'D']",2
ann,"['AE1', 'N']",1
ant,"['AE1', 'N', 'T']",1
ants,"['AE1', 'N', 'T', 'S']",1
anyhow,"['EH1', 'N', 'IY0', 'HH', 'AW2']",3
apgar,"['AE1', 'P', 'G', 'ER0']",2
appear,"['AH0', 'P', 'IH1', 'R']",2
appendix,"['AH0', 'P', 'EH1', 'N', 'D', 'IH0', 'K', 'S']",3
arch,"['AA1', 'R', 'CH']",1
area,"['EH1', 'R', 'IY0', 'AH0']",3
argue,"['AA1', 'R', 'G', 'Y', 'UW0']",2
ark,"['AA1', 'R', 'K']",1
arrive,"['ER0', 'AY1', 'V']",2
arrow,"['AE1', 'R', 'OW0']",2
arrows,"['AE1', 'R', 'OW0', 'Z']",2
ashes,"['AE1', 'SH', 'AH0', 'Z']",2
ashore,"['AH0', 'SH', 'AO1', 'R']",2
assigned,"['AH0', 'S', 'AY1', 'N', 'D']",2
attacked,"['AH0', 'T', 'AE1', 'K', 'T']",2
attic,"['AE1', 'T', 'IH0', 'K']",2
august,"['AA1', 'G', 'AH0', 'S', 'T']",2
avoid,"['AH0', 'V', 'OY1', 'D']",2
awakened,"['AH0', 'W', 'EY1', 'K', 'AH0', 'N', 'D']",3
axes,"['AE1', 'K', 'S', 'IH0', 'Z']",2
axle,"['AE1', 'K', 'S', 'AH0', 'L']",2
babs,"['B', 'AE1', 'B', 'Z']",1
babylon,"['B', 'AE1', 'B', 'AH0', 'L', 'AA2', 'N']",3
babysit,"['B', 'EY1', 'B', 'IY0', 'S', 'IH0', 'T']",3
backhoe,"['B', 'AE1', 'K', 'HH', 'OW2']",2
backs,"['B', 'AE1', 'K', 'S']",1
bacteria,"['B', 'AE0', 'K', 'T', 'IH1', 'R', 'IY0', 'AH0']",4
bailey,"['B', 'EY1', 'L', 'IY0']",2
balsa,"['B', 'AO1', 'L', 'S', 'AH0']",2
banbury,"['B', 'AE1', 'N', 'B', 'EH2', 'R', 'IY0']",3
banging,"['B', 'AE1', 'NG', 'IH0', 'NG']",2
bangs,"['B', 'AE1', 'NG', 'Z']",1
bantam,"['B', 'AE1', 'N', 'T', 'AH0', 'M']",2
barbers,"['B', 'AA1', 'R', 'B', 'ER0', 'Z']",2
barking,"['B', 'AA1', 'R', 'K', 'IH0', 'NG']",2
barks,"['B', 'AA1', 'R', 'K', 'S']",1
barley,"['B', 'AA1', 'R', 'L', 'IY0']",2
baseball,"['B', 'EY1', 'S', 'B', 'AO1', 'L']",2
baskets,"['B', 'AE1', 'S', 'K', 'AH0', 'T', 'S']",2
bathe,"['B', 'EY1', 'DH']",1
batted,"['B', 'AE1', 'T', 'IH0', 'D']",2
bays,"['B', 'EY1', 'Z']",1
beak,"['B', 'IY1', 'K']",1
beckoned,"['B', 'EH1', 'K', 'AH0', 'N', 'D']",2
beer,"['B', 'IH1', 'R']",1
beggars,"['B', 'EH1', 'G', 'ER0', 'Z']",2
behavior,"['B', 'IH0', 'HH', 'EY1', 'V', 'Y', 'ER0']",3
bein,"['B', 'IY1', 'N']",1
belonged,"['B', 'IH0', 'L', 'AO1', 'NG', 'D']",2
belongs,"['B', 'IH0', 'L', 'AO1', 'NG', 'Z']",2
belts,"['B', 'EH1', 'L', 'T', 'S']",1
bert,"['B', 'ER1', 'T']",1
beware,"['B', 'IH0', 'W', 'EH1', 'R']",2
bicycles,"['B', 'AY1', 'S', 'IH0', 'K', 'AH0', 'L', 'Z']",3
biscuits,"['B', 'IH1', 'S', 'K', 'AH0', 'T', 'S']",2
biting,"['B', 'AY1', 'T', 'IH0', 'NG']",2
bitten,"['B', 'IH1', 'T', 'AH0', 'N']",2
blame,"['B', 'L', 'EY1', 'M']",1
blast,"['B', 'L', 'AE1', 'S', 'T']",1
blocked,"['B', 'L', 'AA1', 'K', 'T']",1
blooming,"['B', 'L', 'UW1', 'M', 'IH0', 'NG']",2
blossom,"['B', 'L', 'AA1', 'S', 'AH0', 'M']",2
blossoms,"['B', 'L', 'AA1', 'S', 'AH0', 'M', 'Z']",2
blown,"['B', 'L', 'OW1', 'N']",1
boar,"['B', 'AO1', 'R']",1
boast,"['B', 'OW1', 'S', 'T']",1
boiler,"['B', 'OY1', 'L', 'ER0']",2
boiling,"['B', 'OY1', 'L', 'IH0', 'NG']",2
bolted,"['B', 'OW1', 'L', 'T', 'AH0', 'D']",2
bonnet,"['B', 'AA1', 'N', 'AH0', 'T']",2
bonnie,"['B', 'AA1', 'N', 'IY0']",2
booth,"['B', 'UW1', 'TH']",1
boston,"['B', 'AA1', 'S', 'T', 'AH0', 'N']",2
bottoms,"['B', 'AA1', 'T', 'AH0', 'M', 'Z']",2
bounding,"['B', 'AW1', 'N', 'D', 'IH0', 'NG']",2
bows,"['B', 'AW1', 'Z']",1
braking,"['B', 'R', 'EY1', 'K', 'IH0', 'NG']",2
bramble,"['B', 'R', 'AE1', 'M', 'B', 'AH0', 'L']",2
brandy,"['B', 'R', 'AE1', 'N', 'D', 'IY0']",2
brew,"['B', 'R', 'UW1']",1
brief,"['B', 'R', 'IY1', 'F']",1
brighten,"['B', 'R', 'AY1', 'T', 'AH0', 'N']",2
briskly,"['B', 'R', 'IH1', 'S', 'K', 'L', 'IY0']",2
broad,"['B', 'R', 'AO1', 'D']",1
brooks,"['B', 'R', 'UH1', 'K', 'S']",1
brownish,"['B', 'R', 'AW1', 'N', 'IH0', 'SH']",2
bruised,"['B', 'R', 'UW1', 'Z', 'D']",1
brushes,"['B', 'R', 'AH1', 'SH', 'IH0', 'Z']",2
brushing,"['B', 'R', 'AH1', 'SH', 'IH0', 'NG']",2
buckle,"['B', 'AH1', 'K', 'AH0', 'L']",2
buckles,"['B', 'AH1', 'K', 'AH0', 'L', 'Z']",2
budge,"['B', 'AH1', 'JH']",1
bullet,"['B', 'UH1', 'L', 'AH0', 'T']",2
bullets,"['B', 'UH1', 'L', 'AH0', 'T', 'S']",2
bureau,"['B', 'Y', 'UH1', 'R', 'OW0']",2
bust,"['B', 'AH1', 'S', 'T']",1
butting,"['B', 'AH1', 'T', 'IH0', 'NG']",2
buttoned,"['B', 'AH1', 'T', 'AH0', 'N', 'D']",2
cabin,"['K', 'AE1', 'B', 'AH0', 'N']",2
cadets,"['K', 'AH0', 'D', 'EH1', 'T', 'S']",2
campers,"['K', 'AE1', 'M', 'P', 'ER0', 'Z']",2
campfire,"['K', 'AE1', 'M', 'P', 'F', 'AY2', 'ER0']",3
campsite,"['K', 'AE1', 'M', 'P', 'S', 'AY2', 'T', 'S']",2
canals,"['K', 'AH0', 'N', 'AE1', 'L', 'Z']",2
canary,"['K', 'AH0', 'N', 'EH1', 'R', 'IY0']",3
candies,"['K', 'AE1', 'N', 'D', 'IY0', 'Z']",2
candles,"['K', 'AE1', 'N', 'D', 'AH0', 'L', 'Z']",2
cane,"['K', 'EY1', 'N']",1
canning,"['K', 'AE1', 'N', 'IH0', 'NG']",2
cannon,"['K', 'AE1', 'N', 'AH0', 'N']",2
captured,"['K', 'AE1', 'P', 'CH', 'ER0', 'D']",2
cares,"['K', 'EH1', 'R', 'Z']",1
carles,"['K', 'AA1', 'R', 'L', 'Z']",1
carols,"['K', 'EH1', 'R', 'AH0', 'L', 'Z']",2
carrie,"['K', 'EH1', 'R', 'IY0']",2
carving,"['K', 'AA1', 'R', 'V', 'IH0', 'NG']",2
ceased,"['S', 'IY1', 'S', 'T']",1
ceilings,"['S', 'IY1', 'L', 'IH0', 'NG', 'Z']",2
cellars,"['S', 'EH1', 'L', 'ER0', 'Z']",2
cereal,"['S', 'IH1', 'R', 'IY0', 'AH0', 'L']",3
chain,"['CH', 'EY1', 'N']",1
champion,"['CH', 'AE1', 'M', 'P', 'IY0', 'AH0', 'N']",3
changes,"['CH', 'EY1', 'N', 'JH', 'AH0', 'Z']",2
charge,"['CH', 'AA1', 'R', 'JH']",1
charged,"['CH', 'AA1', 'R', 'JH', 'D']",1
charles,"['CH', 'AA1', 'R', 'L', 'Z']",1
chatter,"['CH', 'AE1', 'T', 'ER0']",2
cheap,"['CH', 'IY1', 'P']",1
checkup,"['CH', 'EH1', 'K', 'AH2', 'P']",2
cheery,"['CH', 'IH1', 'R', 'IY0']",2
cherish,"['CH', 'EH1', 'R', 'IH0', 'SH']",2
cherries,"['CH', 'EH1', 'R', 'IY0', 'Z']",2
chess,"['CH', 'EH1', 'S']",1
chickens,"['CH', 'IH1', 'K', 'AH0', 'N', 'Z']",2
chirp,"['CH', 'ER1', 'P']",1
chops,"['CH', 'AA1', 'P', 'S']",1
chuckled,"['CH', 'AH1', 'K', 'AH0', 'L', 'D']",2
churning,"['CH', 'ER1', 'N', 'IH0', 'NG']",2
chute,"['SH', 'UW1', 'T']",1
cinnamon,"['S', 'IH1', 'N', 'AH0', 'M', 'AH0', 'N']",3
circled,"['S', 'ER1', 'K', 'AH0', 'L', 'D']",2
circling,"['S', 'ER1', 'K', 'AH0', 'L', 'IH0', 'NG']",3
clam,"['K', 'L', 'AE1', 'M']",1
claus,"['K', 'L', 'AO1', 'Z']",1
claw,"['K', 'L', 'AO1']",1
cleaned,"['K', 'L', 'IY1', 'N', 'D']",1
cleaner,"['K', 'L', 'IY1', 'N', 'ER0']",2
clears,"['K', 'L', 'IH1', 'R', 'Z']",1
climbs,"['K', 'L', 'AY1', 'M', 'Z']",1
closing,"['K', 'L', 'OW1', 'Z', 'IH0', 'NG']",2
clue,"['K', 'L', 'UW1']",1
clung,"['K', 'L', 'AH1', 'NG']",1
clutch,"['K', 'L', 'AH1', 'CH']",1
clutched,"['K', 'L', 'AH1', 'CH', 'T']",1
coachman,"['K', 'OW1', 'CH', 'M', 'AH0', 'N']",2
coats,"['K', 'OW1', 'T', 'S']",1
cocked,"['K', 'AA1', 'K', 'T']",1
cocks,"['K', 'AA1', 'K', 'S']",1
cocoa,"['K', 'OW1', 'K', 'OW0']",2
cocoon,"['K', 'AH0', 'K', 'UW1', 'N']",2
code,"['K', 'OW1', 'D']",1
collect,"['K', 'AH0', 'L', 'EH1', 'K', 'T']",2
college,"['K', 'AA1', 'L', 'IH0', 'JH']",2
colt,"['K', 'OW1', 'L', 'T']",1
combed,"['K', 'OW1', 'M', 'D']",1
computer,"['K', 'AH0', 'M', 'P', 'Y', 'UW1', 'T', 'ER0']",3
concrete,"['K', 'AH0', 'N', 'K', 'R', 'IY1', 'T']",2
confess,"['K', 'AH0', 'N', 'F', 'EH1', 'S']",2
content,"['K', 'AA1', 'N', 'T', 'EH0', 'N', 'T']",2
contrary,"['K', 'AA1', 'N', 'T', 'R', 'EH0', 'R', 'IY0']",3
coo,"['K', 'UW1']",1
copper,"['K', 'AA1', 'P', 'ER0']",2
coral,"['K', 'AO1', 'R', 'AH0', 'L']",2
costume,"['K', 'AA0', 'S', 'T', 'UW1', 'M']",2
cot,"['K', 'AA1', 'T']",1
cotton,"['K', 'AA1', 'T', 'AH0', 'N']",2
couch,"['K', 'AW1', 'CH']",1
cowboy,"['K', 'AW1', 'B', 'OY2']",2
crackers,"['K', 'R', 'AE1', 'K', 'ER0', 'Z']",2
crammed,"['K', 'R', 'AE1', 'M', 'D']",1
crashed,"['K', 'R', 'AE1', 'SH', 'T']",1
crashes,"['K', 'R', 'AE1', 'SH', 'IH0', 'Z']",2
creams,"['K', 'R', 'IY1', 'M', 'Z']",1
creeping,"['K', 'R', 'IY1', 'P', 'IH0', 'NG']",2
crew,"['K', 'R', 'UW1']",1
crimes,"['K', 'R', 'AY1', 'M', 'Z']",1
crocus,"['K', 'R', 'OW1', 'K', 'AH0', 'S']",2
crowns,"['K', 'R', 'AW1', 'N', 'Z']",1
crunchy,"['K', 'R', 'AH1', 'N', 'CH', 'IY0']",2
crust,"['K', 'R', 'AH1', 'S', 'T']",1
crystals,"['K', 'R', 'IH1', 'S', 'T', 'AH0', 'L', 'Z']",2
cucumber,"['K', 'Y', 'UW1', 'K', 'AH0', 'M', 'B', 'ER0']",3
curled,"['K', 'ER1', 'L', 'D']",1
curse,"['K', 'ER1', 'S']",1
curtains,"['K', 'ER1', 'T', 'AH0', 'N', 'Z']",2
curves,"['K', 'ER1', 'V', 'Z']",1
custom,"['K', 'AH1', 'S', 'T', 'AH0', 'M']",2
cuts,"['K', 'AH1', 'T', 'S']",1
cutting,"['K', 'AH1', 'T', 'IH0', 'NG']",2
cyclops,"['S', 'AY1', 'K', 'L', 'AO2', 'P', 'S']",2
dam,"['D', 'AE1', 'M']",1
damaged,"['D', 'AE1', 'M', 'AH0', 'JH', 'D']",2
dancers,"['D', 'AE1', 'N', 'S', 'ER0', 'Z']",2
dances,"['D', 'AE1', 'N', 'S', 'AH0', 'Z']",2
dandy,"['D', 'AE1', 'N', 'D', 'IY0']",2
dank,"['D', 'AE1', 'NG', 'K']",1
darker,"['D', 'AA1', 'R', 'K', 'ER0']",2
dash,"['D', 'AE1', 'SH']",1
dashing,"['D', 'AE1', 'SH', 'IH0', 'NG']",2
dawdle,"['D', 'AO1', 'D', 'AH0', 'L']",2
death,"['D', 'EH1', 'TH']",1
december,"['D', 'IH0', 'S', 'EH1', 'M', 'B', 'ER0']",3
decides,"['D', 'IH0', 'S', 'AY1', 'D', 'Z']",2
decision,"['D', 'IH0', 'S', 'IH1', 'ZH', 'AH0', 'N']",3
deck,"['D', 'EH1', 'K']",1
decorate,"['D', 'EH1', 'K', 'ER0', 'EY2', 'T']",3
deeper,"['D', 'IY1', 'P', 'ER0']",2
delicate,"['D', 'EH1', 'L', 'AH0', 'K', 'AH0', 'T']",3
deluxe,"['D', 'AH0', 'L', 'AH1', 'K', 'S']",2
demand,"['D', 'IH0', 'M', 'AE1', 'N', 'D']",2
depends,"['D', 'IH0', 'P', 'EH1', 'N', 'D', 'Z']",2
dew,"['D', 'UW1']",1
di,"['D', 'IY1']",1
dialed,"['D', 'AY1', 'AH0', 'L', 'D']",2
dies,"['D', 'AY1', 'Z']",1
diet,"['D', 'AY1', 'AH0', 'T']",2
dimes,"['D', 'AY1', 'M', 'Z']",1
dingy,"['D', 'IH1', 'N', 'JH', 'IY0']",2
dining,"['D', 'AY1', 'N', 'IH0', 'NG']",2
dip,"['D', 'IH1', 'P']",1
dirtier,"['D', 'ER1', 'T', 'IY0', 'ER0']",3
discover,"['D', 'IH0', 'S', 'K', 'AH1', 'V', 'ER0']",3
disguise,"['D', 'IH0', 'S', 'G', 'AY1', 'Z']",2
ditches,"['D', 'IH1', 'CH', 'AH0', 'Z']",2
diva,"['D', 'IY1', 'V', 'AH0']",2
diver,"['D', 'AY1', 'V', 'ER0']",2
diving,"['D', 'AY1', 'V', 'IH0', 'NG']",2
doily,"['D', 'OY1', 'L', 'IY0']",2
donald,"['D', 'AA1', 'N', 'AH0', 'L', 'D']",2
doorknob,"['D', 'UW1', 'R', 'N', 'AA0', 'B']",2
doornail,"['D', 'AO1', 'R', 'N', 'EY2', 'L']",2
dope,"['D', 'OW1', 'P']",1
doubt,"['D', 'AW1', 'T']",1
downer,"['D', 'AW1', 'N', 'ER0']",2
downtown,"['D', 'AW1', 'N', 'T', 'AW1', 'N']",2
downy,"['D', 'AW1', 'N', 'IY0']",2
dozens,"['D', 'AH1', 'Z', 'AH0', 'N', 'Z']",2
drawers,"['D', 'R', 'AO1', 'R', 'Z']",1
dreamer,"['D', 'R', 'IY1', 'M', 'ER0']",2
drift,"['D', 'R', 'IH1', 'F', 'T']",1
drifted,"['D', 'R', 'IH1', 'F', 'T', 'AH0', 'D']",2
dripped,"['D', 'R', 'IH1', 'P', 'T']",1
drivers,"['D', 'R', 'AY1', 'V', 'ER0', 'Z']",2
drowning,"['D', 'R', 'AW1', 'N', 'IH0', 'NG']",2
drummer,"['D', 'R', 'AH1', 'M', 'ER0']",2
drunk,"['D', 'R', 'AH1', 'NG', 'K']",1
dues,"['D', 'UW1', 'Z']",1
dun,"['D', 'AH1', 'N']",1
dupree,"['D', 'AH0', 'P', 'R', 'IY1']",2
earlier,"['ER1', 'L', 'IY0', 'ER0']",3
easier,"['IY1', 'Z', 'IY0', 'ER0']",3
eater,"['IY1', 'T', 'ER0']",2
echo,"['EH1', 'K', 'OW0']",2
egypt,"['IY1', 'JH', 'AH0', 'P', 'T']",2
eighth,"['EY1', 'T', 'TH']",1
eights,"['EY1', 'T', 'S']",1
elses,"['EH1', 'L', 'S', 'IH0', 'Z']",2
emblem,"['EH1', 'M', 'B', 'L', 'AH0', 'M']",2
emily,"['EH1', 'M', 'IH0', 'L', 'IY0']",3
endless,"['EH1', 'N', 'D', 'L', 'AH0', 'S']",2
england,"['IH1', 'NG', 'G', 'L', 'AH0', 'N', 'D']",2
enter,"['EH1', 'N', 'T', 'ER0']",2
equal,"['IY1', 'K', 'W', 'AH0', 'L']",2
er,['ER0'],1
eraser,"['IH0', 'R', 'EY1', 'S', 'ER0']",3
escaped,"['IH0', 'S', 'K', 'EY1', 'P', 'T']",2
est,"['AH0', 'S', 'T', 'EY1', 'T']",2
eunice,"['Y', 'UW1', 'N', 'AH0', 'S']",2
example,"['IH0', 'G', 'Z', 'AE1', 'M', 'P', 'AH0', 'L']",3
exercise,"['EH1', 'K', 'S', 'ER0', 'S', 'AY2', 'Z']",3
existed,"['IH0', 'G', 'Z', 'IH1', 'S', 'T', 'AH0', 'D']",3
exit,"['EH1', 'G', 'Z', 'IH0', 'T']",2
explain,"['IH0', 'K', 'S', 'P', 'L', 'EY1', 'N']",2
fade,"['F', 'EY1', 'D']",1
familiar,"['F', 'AH0', 'M', 'IH1', 'L', 'Y', 'ER0']",3
families,"['F', 'AE1', 'M', 'AH0', 'L', 'IY0', 'Z']",3
fare,"['F', 'EH1', 'R']",1
farewell,"['F', 'EH2', 'R', 'W', 'EH1', 'L']",2
farthing,"['F', 'AA1', 'R', 'DH', 'IH0', 'NG']",2
fawn,"['F', 'AO1', 'N']",1
feared,"['F', 'IH1', 'R', 'D']",1
fears,"['F', 'IH1', 'R', 'Z']",1
fences,"['F', 'EH1', 'N', 'S', 'AH0', 'Z']",2
festive,"['F', 'EH1', 'S', 'T', 'IH0', 'V']",2
fiddler,"['F', 'IH1', 'D', 'AH0', 'L', 'ER0']",3
fidelity,"['F', 'AH0', 'D', 'EH1', 'L', 'AH0', 'T', 'IY0']",4
fielders,"['F', 'IY1', 'L', 'D', 'ER0', 'Z']",2
fiercely,"['F', 'IH1', 'R', 'S', 'L', 'IY0']",2
fiercest,"['F', 'IH1', 'R', 'S', 'AH0', 'S', 'T']",2
fiery,"['F', 'AY1', 'ER0', 'IY0']",3
filed,"['F', 'AY1', 'L', 'D']",1
filling,"['F', 'IH1', 'L', 'IH0', 'NG']",2
finch,"['F', 'IH1', 'N', 'CH']",1
finding,"['F', 'AY1', 'N', 'D', 'IH0', 'NG']",2
fins,"['F', 'IH1', 'N', 'Z']",1
fir,"['F', 'ER1']",1
firm,"['F', 'ER1', 'M']",1
flannel,"['F', 'L', 'AE1', 'N', 'AH0', 'L']",2
flash,"['F', 'L', 'AE1', 'SH']",1
flavor,"['F', 'L', 'EY1', 'V', 'ER0']",2
flee,"['F', 'L', 'IY1']",1
fleece,"['F', 'L', 'IY1', 'S']",1
flinders,"['F', 'L', 'IH1', 'N', 'D', 'ER0', 'Z']",2
flipped,"['F', 'L', 'IH1', 'P', 'T']",1
flippers,"['F', 'L', 'IH1', 'P', 'ER0', 'Z']",2
flipping,"['F', 'L', 'IH1', 'P', 'IH0', 'NG']",2
flock,"['F', 'L', 'AA1', 'K']",1
flopped,"['F', 'L', 'AA1', 'P', 'T']",1
flown,"['F', 'L', 'OW1', 'N']",1
flu,"['F', 'L', 'UW1']",1
flushes,"['F', 'L', 'AH1', 'SH', 'IH0', 'Z']",2
flutes,"['F', 'L', 'UW1', 'T', 'S']",1
folk,"['F', 'OW1', 'K']",1
fooled,"['F', 'UW1', 'L', 'D']",1
foolish,"['F', 'UW1', 'L', 'IH0', 'SH']",2
forced,"['F', 'AO1', 'R', 'S', 'T']",1
forgets,"['F', 'ER0', 'G', 'EH1', 'T', 'S']",2
formed,"['F', 'AO1', 'R', 'M', 'D']",1
fort,"['F', 'AO1', 'R', 'T']",1
